"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.081744,1,0.089667,0.089667,0.15,0
0.081744,1,0.09,0.09,0.15,0
0.081744,1,0.090333,0.090333,0.15,0
0.081744,1,0.090667,0.090667,0.15,0
0.081744,1,0.091,0.091,0.15,0
0.081744,1,0.091333,0.091333,0.15,0
0.081744,1,0.091667,0.091667,0.15,0
0.081744,1,0.092,0.092,0.15,0
0.081744,1,0.092333,0.092333,0.15,0
0.081744,1,0.092667,0.092667,0.15,0
0.081744,1,0.093,0.093,0.15,0
0.081744,1,0.093333,0.093333,0.15,0
0.081744,1,0.093667,0.093667,0.15,0
0.081744,1,0.094,0.094,0.15,0
0.081744,1,0.094333,0.094333,0.15,0
0.081744,1,0.094667,0.094667,0.15,0
0.081744,1,0.095,0.095,0.15,0
0.081744,1,0.095333,0.095333,0.15,0
0.081744,1,0.095667,0.095667,0.15,0
0.081744,1,0.096,0.096,0.15,0
0.081744,1,0.096333,0.096333,0.15,0
0.081744,1,0.096667,0.096667,0.15,0
0.081744,1,0.097,0.097,0.15,0
0.081744,1,0.097333,0.097333,0.15,0
0.081744,1,0.097667,0.097667,0.15,0
0.081744,1,0.098,0.098,0.15,0
0.081744,1,0.098333,0.098333,0.15,0
0.081744,1,0.098667,0.098667,0.15,0
0.081744,1,0.099,0.099,0.15,0
0.081744,1,0.099333,0.099333,0.15,0
0.081744,1,0.099667,0.099667,0.15,0
0.053991,1,0.1,0.1,0.15,0
0.053991,1,0.10033,0.10033,0.15,0
0.053991,1,0.10067,0.10067,0.15,0
0.053991,1,0.101,0.101,0.15,0
0.053991,1,0.10133,0.10133,0.15,0
0.053991,1,0.10167,0.10167,0.15,0
0.053991,1,0.102,0.102,0.15,0
0.053991,1,0.10233,0.10233,0.15,0
0.053991,1,0.10267,0.10267,0.15,0
0.053991,1,0.103,0.103,0.15,0
0.053991,1,0.10333,0.10333,0.15,0
0.053991,1,0.10367,0.10367,0.15,0
0.053991,1,0.104,0.104,0.15,0
0.053991,1,0.10433,0.10433,0.15,0
0.053991,1,0.10467,0.10467,0.15,0
0.053991,1,0.105,0.105,0.15,0
0.053991,1,0.10533,0.10533,0.15,0
0.053991,1,0.10567,0.10567,0.15,0
0.053991,1,0.106,0.106,0.15,0
0.053991,1,0.10633,0.10633,0.15,0
0.053991,1,0.10667,0.10667,0.15,0
0.053991,1,0.107,0.107,0.15,0
0.053991,1,0.10733,0.10733,0.15,0
0.053991,1,0.10767,0.10767,0.15,0
0.053991,1,0.108,0.108,0.15,0
0.053991,1,0.10833,0.10833,0.15,0
0.053991,1,0.10867,0.10867,0.15,0
0.053991,1,0.109,0.109,0.15,0
0.053991,1,0.10933,0.10933,0.15,0
0.053991,1,0.10967,0.10967,0.15,0
0.053991,1,0.11,0.11,0.15,0
0.053991,1,0.11033,0.11033,0.15,0
0.053991,1,0.11067,0.11067,0.15,0
0.053991,1,0.111,0.111,0.15,0
0.053991,1,0.11133,0.11133,0.15,0
0.053991,1,0.11167,0.11167,0.15,0
0.053991,1,0.112,0.112,0.15,0
0.053991,1,0.11233,0.11233,0.15,0
0.053991,1,0.11267,0.11267,0.15,0
0.053991,1,0.113,0.113,0.15,0
0.053991,1,0.11333,0.11333,0.15,0
0.053991,1,0.11367,0.11367,0.15,0
0.053991,1,0.114,0.114,0.15,0
0.053991,1,0.11433,0.11433,0.15,0
